Thursday,1,1,10:15,12:45,A1,1,Not selected,Available,No Price Yet,
Thursday,1,1,10:15,12:45,A2,2,Not selected,Available,No Price Yet,
Thursday,1,1,10:15,12:45,A3,3,Not selected,Available,No Price Yet,
Thursday,1,1,10:15,12:45,A4,4,Not selected,Available,No Price Yet,
Thursday,1,1,10:15,12:45,A5,5,Not selected,Available,No Price Yet,
Thursday,1,1,10:15,12:45,A6,6,Not selected,Available,No Price Yet,
Thursday,1,1,10:15,12:45,A7,7,Not selected,Available,No Price Yet,
Thursday,1,1,10:15,12:45,A8,8,Not selected,Available,No Price Yet,
Thursday,1,1,10:15,12:45,A9,9,Not selected,Available,No Price Yet,
Thursday,1,1,10:15,12:45,A10,10,Not selected,Available,No Price Yet,
Thursday,1,1,10:15,12:45,A11,11,Not selected,Available,No Price Yet,
Thursday,1,1,10:15,12:45,A12,12,Not selected,Available,No Price Yet,
Thursday,1,1,10:15,12:45,A13,13,Not selected,Available,No Price Yet,
Thursday,1,1,10:15,12:45,A14,14,Not selected,Available,No Price Yet,
Thursday,1,1,10:15,12:45,A15,15,Not selected,Available,No Price Yet,
Thursday,1,1,10:15,12:45,A16,16,Not selected,Available,No Price Yet,
Thursday,1,1,10:15,12:45,A17,17,Not selected,Available,No Price Yet,
Thursday,1,1,10:15,12:45,A18,18,Not selected,Available,No Price Yet,
Thursday,1,1,10:15,12:45,A19,19,Not selected,Available,No Price Yet,
Thursday,1,1,10:15,12:45,A20,20,Not selected,Available,No Price Yet,
Thursday,1,1,10:15,12:45,A21,21,Not selected,Available,No Price Yet,
Thursday,1,1,10:15,12:45,A22,22,Not selected,Available,No Price Yet,
Thursday,1,1,10:15,12:45,A23,23,Not selected,Available,No Price Yet,
Thursday,1,1,10:15,12:45,A24,24,Not selected,Available,No Price Yet,
Thursday,1,1,10:15,12:45,A25,25,Not selected,Available,No Price Yet,
Thursday,1,1,10:15,12:45,B1,26,Not selected,Available,No Price Yet,
Thursday,1,1,10:15,12:45,B2,27,Not selected,Available,No Price Yet,
Thursday,1,1,10:15,12:45,B3,28,Not selected,Available,No Price Yet,
Thursday,1,1,10:15,12:45,B4,29,Not selected,Available,No Price Yet,
Thursday,1,1,10:15,12:45,B5,30,Not selected,Available,No Price Yet,
Thursday,1,1,10:15,12:45,B6,31,Not selected,Available,No Price Yet,
Thursday,1,1,10:15,12:45,B7,32,Not selected,Available,No Price Yet,
Thursday,1,1,10:15,12:45,B8,33,Not selected,Available,No Price Yet,
Thursday,1,1,10:15,12:45,B9,34,Not selected,Available,No Price Yet,
Thursday,1,1,10:15,12:45,B10,35,Not selected,Available,No Price Yet,
Thursday,1,1,10:15,12:45,B11,36,Not selected,Available,No Price Yet,
Thursday,1,1,10:15,12:45,B12,37,Not selected,Available,No Price Yet,
Thursday,1,1,10:15,12:45,B13,38,Not selected,Available,No Price Yet,
Thursday,1,1,10:15,12:45,B14,39,Not selected,Available,No Price Yet,
Thursday,1,1,10:15,12:45,B15,40,Not selected,Available,No Price Yet,
Thursday,1,1,10:15,12:45,B16,41,Not selected,Available,No Price Yet,
Thursday,1,1,10:15,12:45,B17,42,Not selected,Available,No Price Yet,
